# Q  F(Q)  dF/dQ
4.422111e-01 5.948738e+00 -9.932011e+01
4.472362e-01 5.411860e+00 -1.139540e+02
4.522613e-01 4.807901e+00 -1.259454e+02
4.572864e-01 4.151195e+00 -1.348835e+02
4.623116e-01 3.457991e+00 -1.404188e+02
4.673367e-01 2.746121e+00 -1.422727e+02
4.723618e-01 2.034621e+00 -1.402452e+02
4.773869e-01 1.343322e+00 -1.342209e+02
4.824121e-01 6.924112e-01 -1.241737e+02
4.874372e-01 1.019782e-01 -1.101695e+02
4.924623e-01 -4.084521e-01 -9.236667e+01
4.974874e-01 -8.203803e-01 -7.101472e+01
5.025126e-01 -1.116784e+00 -4.645123e+01
5.075377e-01 -1.282547e+00 -1.909652e+01
5.125628e-01 -1.304860e+00 1.055338e+01
5.175879e-01 -1.173578e+00 4.193557e+01
5.226131e-01 -8.815306e-01 7.443073e+01
5.276382e-01 -4.247767e-01 1.073750e+02
5.326633e-01 1.972037e-01 1.400731e+02
5.376884e-01 9.813874e-01 1.718125e+02
5.427136e-01 1.921158e+00 2.018780e+02
5.477387e-01 3.006331e+00 2.295677e+02
5.527638e-01 4.223260e+00 2.542076e+02
5.577889e-01 5.555014e+00 2.751678e+02
5.628141e-01 6.981640e+00 2.918767e+02
5.678392e-01 8.480488e+00 3.038358e+02
5.728643e-01 1.002661e+01 3.106321e+02
5.778894e-01 1.159324e+01 3.119505e+02
5.829146e-01 1.315226e+01 3.075833e+02
5.879397e-01 1.467484e+01 2.974387e+02
5.929648e-01 1.613196e+01 2.815468e+02
5.979899e-01 1.749508e+01 2.600631e+02
6.030151e-01 1.873676e+01 2.332696e+02
6.080402e-01 1.983128e+01 2.015738e+02
6.130653e-01 2.075530e+01 1.655039e+02
6.180905e-01 2.148838e+01 1.257023e+02
6.231156e-01 2.201363e+01 8.291561e+01
6.281407e-01 2.231811e+01 3.798247e+01
6.331658e-01 2.239330e+01 -8.181378e+00
6.381910e-01 2.223545e+01 -5.460032e+01
6.432161e-01 2.184583e+01 -1.002582e+02
6.482412e-01 2.123084e+01 -1.441195e+02
6.532663e-01 2.040213e+01 -1.851518e+02
6.582915e-01 1.937645e+01 -2.223496e+02
6.633166e-01 1.817548e+01 -2.547587e+02
6.683417e-01 1.682555e+01 -2.815003e+02
6.733668e-01 1.535714e+01 -3.017952e+02
6.783920e-01 1.380434e+01 -3.149869e+02
6.834171e-01 1.220421e+01 -3.205629e+02
6.884422e-01 1.059596e+01 -3.181746e+02
6.934673e-01 9.020107e+00 -3.076539e+02
6.984925e-01 7.517547e+00 -2.890266e+02
7.035176e-01 6.128523e+00 -2.625225e+02
7.085427e-01 4.891601e+00 -2.285807e+02
7.135678e-01 3.842612e+00 -1.878506e+02
7.185930e-01 3.013603e+00 -1.411878e+02
7.236181e-01 2.431825e+00 -8.964372e+01
7.286432e-01 2.118782e+00 -3.445122e+01
7.336683e-01 2.089368e+00 2.299708e+01
7.386935e-01 2.351136e+00 8.117529e+01
7.437186e-01 2.903701e+00 1.384565e+02
7.487437e-01 3.738326e+00 1.931503e+02
7.537688e-01 4.837708e+00 2.435452e+02
7.587940e-01 6.175987e+00 2.879546e+02
7.638191e-01 7.718993e+00 3.247672e+02
7.688442e-01 9.424757e+00 3.524984e+02
7.738693e-01 1.124428e+01 3.698440e+02
7.788945e-01 1.312258e+01 3.757332e+02
7.839196e-01 1.499997e+01 3.693800e+02
7.889447e-01 1.681365e+01 3.503312e+02
7.939698e-01 1.849947e+01 3.185092e+02
7.989950e-01 1.999389e+01 2.742479e+02
8.040201e-01 2.123616e+01 2.183196e+02
8.090452e-01 2.217054e+01 1.519497e+02
8.140704e-01 2.274859e+01 7.681962e+01
8.190955e-01 2.293146e+01 -4.946385e+00
8.241206e-01 2.269199e+01 -9.081149e+01
8.291457e-01 2.201675e+01 -1.778750e+02
8.341709e-01 2.090764e+01 -2.629411e+02
8.391960e-01 1.938317e+01 -3.426090e+02
8.442211e-01 1.747923e+01 -4.133838e+02
8.492462e-01 1.524925e+01 -4.718083e+02
8.542714e-01 1.276362e+01 -5.146155e+02
8.592965e-01 1.010830e+01 -5.388969e+02
8.643216e-01 7.382604e+00 -5.422865e+02
8.693467e-01 4.695964e+00 -5.231525e+02
8.743719e-01 2.163759e+00 -4.807915e+02
8.793970e-01 -9.782464e-02 -4.156166e+02
8.844221e-01 -1.977844e+00 -3.293271e+02
8.894472e-01 -3.377425e+00 -2.250473e+02
8.944724e-01 -4.217176e+00 -1.074162e+02
8.994975e-01 -4.444883e+00 1.739085e+01
9.045226e-01 -4.043098e+00 1.417341e+02
9.095477e-01 -3.036069e+00 2.567030e+02
9.145729e-01 -1.495318e+00 3.524655e+02
9.195980e-01 4.570052e-01 4.188127e+02
9.246231e-01 2.648085e+00 4.459433e+02
9.296482e-01 4.859069e+00 4.255417e+02
9.346734e-01 6.835962e+00 3.522095e+02
9.396985e-01 8.308755e+00 2.253182e+02
9.447236e-01 9.021074e+00 5.136223e+01
9.497487e-01 8.773100e+00 -1.531000e+02
9.547739e-01 7.480947e+00 -3.578177e+02
9.597990e-01 5.256235e+00 -5.144190e+02
9.648241e-01 2.510187e+00 -5.510580e+02
9.698492e-01 8.723633e-02 -3.659957e+02
9.748744e-01 -5.661050e-01 1.800404e+02
9.798995e-01 2.809445e+00 1.272892e+03
9.849246e-01 9.094548e+00 2.456505e+03
9.899497e-01 9.094548e+00 2.456505e+03
9.949749e-01 9.094548e+00 2.456505e+03
1.000000e+00 9.094548e+00 2.456505e+03
